doi,task,taskLabel,score,rank
10.1109/OJIES.2023.3334429,http://h-da.de/ml-ontology/feature_selection,feature selection,0.4097784161567688,1
10.1109/OJIES.2023.3334429,http://h-da.de/ml-ontology/image_classification,image classification,0.40413254499435425,2
10.1109/OJIES.2023.3334429,http://h-da.de/ml-ontology/binary_classification,binary classification,0.40355855226516724,3
10.1109/OJIES.2023.3334429,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.38443613052368164,4
10.1109/OJIES.2023.3334429,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3766104578971863,5
10.1109/OJIES.2024.3455264,http://h-da.de/ml-ontology/binary_classification,binary classification,0.35374754667282104,1
10.1109/OJIM.2025.3613073,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.4185829758644104,1
10.1109/OJIM.2025.3613073,http://h-da.de/ml-ontology/binary_classification,binary classification,0.3565472960472107,2
10.1109/OJITS.2024.3412820,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3994041681289673,1
10.1109/ONCON62778.2024.10931566,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38392549753189087,1
10.1109/OPEE.2010.5508157,http://h-da.de/ml-ontology/regression,regression,0.4333149194717407,1
10.1109/OPEE.2010.5508157,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35425281524658203,2
10.1109/OPEE.2010.5508157,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.35234448313713074,3
10.1109/OTCON60325.2024.10687751,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.4427889287471771,1
10.1109/OTCON60325.2024.10687751,http://h-da.de/ml-ontology/regression,regression,0.37404659390449524,2
10.1109/OTCON65728.2025.11070797,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.42801737785339355,1
10.1109/OTCON65728.2025.11070797,http://h-da.de/ml-ontology/binary_classification,binary classification,0.37937140464782715,2
10.1109/OTCON65728.2025.11070797,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.3672633767127991,3
10.1109/OTCON65728.2025.11070797,http://h-da.de/ml-ontology/audio_classification,audio classification,0.3667946457862854,4
10.1109/OTCON65728.2025.11070797,http://h-da.de/ml-ontology/image_classification,image classification,0.36605751514434814,5
10.1109/PC.2017.7976254,http://h-da.de/ml-ontology/image_classification,image classification,0.37513142824172974,1
10.1109/PC52310.2021.9447527,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.4453779458999634,1
10.1109/PC52310.2021.9447527,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4356187582015991,2
10.1109/PC52310.2021.9447527,http://h-da.de/ml-ontology/image_classification,image classification,0.4066990613937378,3
10.1109/PC52310.2021.9447527,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3855765461921692,4
10.1109/PC52310.2021.9447527,http://h-da.de/ml-ontology/tabular_classification,tabular classification,0.3840394616127014,5
10.1109/PC58330.2023.10217543,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.4865899085998535,1
10.1109/PC58330.2023.10217543,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.46687623858451843,2
10.1109/PC58330.2023.10217543,http://h-da.de/ml-ontology/binary_classification,binary classification,0.437219500541687,3
10.1109/PC58330.2023.10217543,http://h-da.de/ml-ontology/tabular_classification,tabular classification,0.41278505325317383,4
10.1109/PC58330.2023.10217543,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.40392017364501953,5
10.1109/PDGC56933.2022.10053203,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.3903024196624756,1
10.1109/PDGC56933.2022.10053203,http://h-da.de/ml-ontology/regression,regression,0.379538357257843,2
10.1109/PDGC56933.2022.10053203,http://h-da.de/ml-ontology/time_series_analysis,time series analysis,0.3777112066745758,3
10.1109/PDGC56933.2022.10053203,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37683814764022827,4
10.1109/PDGC56933.2022.10053203,http://h-da.de/ml-ontology/binary_classification,binary classification,0.3671413064002991,5
10.1109/PDGC64653.2024.10984080,http://h-da.de/ml-ontology/image_classification,image classification,0.4225042462348938,1
10.1109/PECTEA61788.2025.11076281,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4215993881225586,1
10.1109/PECTEA61788.2025.11076281,http://h-da.de/ml-ontology/image_classification,image classification,0.3752366304397583,2
10.1109/PEED63748.2025.00042,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.41596418619155884,1
10.1109/PEED63748.2025.00042,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3725908398628235,2
10.1109/PEED63748.2025.00042,http://h-da.de/ml-ontology/community_detection,community detection,0.3656264543533325,3
10.1109/PEEEC63877.2024.00126,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.5391416549682617,1
10.1109/PEEEC63877.2024.00126,http://h-da.de/ml-ontology/binary_classification,binary classification,0.40739360451698303,2
10.1109/PEEEC63877.2024.00126,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4034326672554016,3
10.1109/PEEEC63877.2024.00126,http://h-da.de/ml-ontology/image_classification,image classification,0.36964917182922363,4
10.1109/PEEIC59336.2023.10451092,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.5173237323760986,1
10.1109/PEEIC59336.2023.10451092,http://h-da.de/ml-ontology/time_series_analysis,time series analysis,0.4229999780654907,2
10.1109/PEEIC59336.2023.10451092,http://h-da.de/ml-ontology/binary_classification,binary classification,0.41699153184890747,3
10.1109/PEEIC59336.2023.10451092,http://h-da.de/ml-ontology/image_classification,image classification,0.37325626611709595,4
10.1109/PEEIC59336.2023.10451092,http://h-da.de/ml-ontology/classification,classification,0.36925700306892395,5
10.1109/PEEIC59336.2023.10703806,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.48044300079345703,1
10.1109/PEEIC59336.2023.10703806,http://h-da.de/ml-ontology/time_series_analysis,time series analysis,0.39898261427879333,2
10.1109/PEEIC59336.2023.10703806,http://h-da.de/ml-ontology/binary_classification,binary classification,0.36615291237831116,3
10.1109/PESGM48719.2022.9917007,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.39752012491226196,1
10.1109/PESGM48719.2022.9917007,http://h-da.de/ml-ontology/audio_regression,audio regression,0.3515722453594208,2
10.1109/PESGM52003.2023.10253077,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.41782572865486145,1
10.1109/PESGM52003.2023.10253077,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.390779972076416,2
10.1109/PESGRE58662.2023.10404256,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.3739526867866516,1
10.1109/PHM-BEIJING63284.2024.10874723,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35282397270202637,1
10.1109/PHM-BEIJING63284.2024.10874723,http://h-da.de/ml-ontology/binary_classification,binary classification,0.3509904742240906,2
10.1109/PHM-Besancon49106.2020.00009,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.47095543146133423,1
